Group,n_stocks,CAAR_sum_mean,CAAR_compound_mean,t_stat_CAR_vs_0,p_value_CAR_vs_0
Control Big,8,0.0005353350036853624,0.00044471422207097155,0.11660972135410652,0.9104443878386601
Control Small,7,-0.0027922994597310577,-0.00288501691358724,-0.36233355029788133,0.7295230597710884
Treatment Big,8,-0.02900674229777546,-0.02802291692886523,-1.3012616314366943,0.23435914093777027
Treatment Small,7,-0.03232430782492845,-0.031886635519507975,-2.018127111201285,0.09013395979379571
