Period,Ticker,Name,Group,n_months,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,0670.HK,China Eastern Airlines,Treatment Big,59,-0.012778511603768621,0.09488203925055091,-0.019781200469680283,0.5564969781285064,0.1085994087713899,0.014219771387366858,0.10090872268415818
After,1055.HK,China Southern Airlines,Treatment Big,59,-0.009767822922230194,0.1003038610948658,-0.017939430874394716,0.6493898585109279,0.1622564770968192,0.006473095564597335,0.12295517444295834
After,AAL,American Airlines Group,Treatment Big,59,-0.0038985511088336197,0.1355195401041978,-0.022895635192861127,1.5096800798157584,0.12180356730647031,4.2405683053788926e-07,0.36402995271742256
After,LUV,Southwest Airlines,Treatment Big,59,-0.0038073225296319257,0.11028832916222235,-0.01786678249142082,1.1172918192811414,0.15629718071114626,6.818661081478242e-06,0.3010545751581797
After,NAS.OL,Norwegian Air Shuttle,Treatment Big,59,-0.03808411949017897,0.28828223962535626,-0.05045605890051918,0.9831861770924128,0.19200941416466627,0.16134735027571567,0.0341198302467981
After,RYAAY,Ryanair Holdings,Treatment Big,59,0.01767015768431503,0.11813531377773151,-0.0021639769937887225,1.5761996889349983,0.844943368709749,1.0358133676936409e-10,0.5221966784439727
After,THYAO.IS,Turkish Airlines,Treatment Big,59,0.06333022378743461,0.15354369996475045,0.05445894316276643,0.7049921757612004,0.008759164204054587,0.057535829096730544,0.06184088545338684
After,UAL,United Airlines Holdings,Treatment Big,59,-6.81585523315448e-05,0.14093468368999465,-0.019002905416601754,1.5047262006581767,0.22551119267851977,1.6149672585088614e-06,0.3343877079201394
After,AAVVF,Avianca Holdings SA,Treatment Small,59,0.04344142467713267,0.19894425978558714,0.021538785967539834,1.7405817234380334,0.365875793030342,0.00015007476650090855,0.22454175920492037
After,AC.TO,Air Canada,Treatment Small,59,0.004552815358126263,0.1599089211930506,-0.016603708345751304,1.6812886784424064,0.35298835214475843,2.517212416480795e-06,0.3242726336045759
After,ALK,Alaska Air Group,Treatment Small,59,0.00241716324582385,0.1263816076079485,-0.017701721887104973,1.5988285348919067,0.15941824603221974,2.1507006905374135e-09,0.46946923651760786
After,CPA,Copa Holdings,Treatment Small,59,0.014448790728985408,0.13888944516683416,-0.0025897427886186083,1.354035941885799,0.8712673498181407,1.7245766922132786e-05,0.278800152839756
After,JBLU,JetBlue Airways,Treatment Small,59,-0.004324908610574997,0.1464284235417703,-0.027134386593793136,1.812647372088701,0.06925468285533519,6.284967379468248e-09,0.44951789608415005
After,JET2.L,Jet2 plc,Treatment Small,59,0.02379292580549068,0.1802342835072597,0.0020964346570866077,1.7241993741652337,0.9200437991613357,2.6322858656891334e-05,0.2684548570380382
After,TUI1.DE,TUI Group,Treatment Small,59,-0.004972759470308731,0.18408488032638884,-0.02720543836829643,1.766809701150534,0.20483246713029685,2.4501399601162677e-05,0.2702180899537554
Before,0293.HK,Cathay Pacific Airways,Control Big,60,0.0032158882715948283,0.07176213744290978,-0.0053078580409997725,0.9360466702860369,0.5457597554837669,0.0005358159869786399,0.18813808355482298
Before,9201.T,Japan Airlines,Control Big,60,0.011442709962401971,0.057628615603455544,0.008742036122269805,0.29657813159561547,0.2590489523962914,0.19108223632781365,0.029286961614449547
Before,9202.T,ANA Holdings,Control Big,60,0.012779293639952786,0.05619560309829365,0.008437127648485403,0.47684080087375413,0.2513891116610358,0.02894170517850799,0.0796186090844977
Before,C6L.SI,Singapore Airlines,Control Big,60,0.002282574803019971,0.04210445608668437,0.0015054219248934915,0.08534408899507348,0.7917251815936385,0.608858309162648,0.004543214196360168
Before,DAL,Delta Air Lines,Control Big,60,0.010974075603731096,0.07605383457293903,0.0018847391665128754,0.9981577108408627,0.8391447288975296,0.0004902966498590479,0.1904708599306998
Before,IAG.L,International Airlines Group,Control Big,60,0.00661674527646508,0.07755752699030764,0.0022556923711339583,0.4789148927326362,0.8266464863486533,0.11550822619085281,0.04216394337136242
Before,LTM.SN,LATAM Airlines Group,Control Big,60,0.0029421810461030115,0.10457180063380846,-0.007374917372419964,1.1329860448101634,0.5778531004861891,0.004688575021530793,0.1298052896337707
Before,QAN.AX,Qantas Airways,Control Big,60,0.032017025932847616,0.09249234743659351,0.027138403490036694,0.5357524878970568,0.030805214251473256,0.14035630301981594,0.037101308865066795
Before,AF.PA,Air France-KLM,Control Small,60,0.005681674269415776,0.12280991682471318,0.00019055028057370145,0.6030151693145384,0.9907507340395434,0.21256784890683111,0.026660116443124937
Before,AIR.NZ,Air New Zealand,Control Small,60,0.015455871175342755,0.08698890942315772,0.00926508214214568,0.6798498275816826,0.4175343409739456,0.04492729476971653,0.06754149246627927
Before,ALGT,Allegiant Travel,Control Small,60,0.008940401362790066,0.1006561955996801,0.0018355925859720947,0.7802241355696932,0.8893624319402778,0.04677456867231113,0.06644008504486498
Before,CHR.TO,Chorus Aviation,Control Small,34,0.010190722121895656,0.07323375873580813,-0.00635595514920446,1.514169125672803,0.5214604359655775,8.006210238261195e-06,0.4686292135868131
Before,EZJ.L,easyJet,Control Small,60,-0.003590981093954624,0.08293539775082875,-0.007257670359040606,0.4026624152910222,0.5141345656330746,0.21780681188649006,0.026066022549342316
Before,LHA.DE,Lufthansa Group,Control Small,60,0.00749085340608478,0.10112807600087194,-0.00039692035432847513,0.8662064887471931,0.9759225844213769,0.02739917378448012,0.08112819579168129
Before,WIZZ.L,Wizz Air Holdings,Control Small,49,0.020427482839331573,0.08351270187970138,0.01940199774752685,0.12441160481079215,0.12369892511350727,0.7223749404082965,0.0027107476877979986
Before,0670.HK,China Eastern Airlines,Treatment Big,60,0.02135106212587245,0.12641709908660467,0.006796299786589382,1.5983508101783772,0.6625500961028042,0.0008238230189200465,0.17676855521022528
Before,1055.HK,China Southern Airlines,Treatment Big,60,0.029122465396488283,0.148144142057827,0.015348653614298798,1.5125896739576354,0.41816141161219655,0.00795497337899742,0.11527781546607241
Before,AAL,American Airlines Group,Treatment Big,60,0.003133970209153125,0.09851572565059988,-0.010116508181079132,1.4551191133583299,0.3864095565568314,6.755357325878927e-05,0.24124505010528408
Before,LUV,Southwest Airlines,Treatment Big,60,0.017889678585725138,0.09037395054001442,0.004712942581872196,1.4470209939753889,0.650034544964761,1.1935195753344488e-05,0.2834885820938482
Before,NAS.OL,Norwegian Air Shuttle,Treatment Big,60,-0.007534549245404461,0.1670496321715437,-0.010149211572985352,0.2871326616136033,0.654023777696467,0.664447040976762,0.0032669808430546565
Before,RYAAY,Ryanair Holdings,Treatment Big,60,0.0074263529686981545,0.0762109877807916,0.0022559039717058456,0.5677998136062805,0.821852950210364,0.05631807433532147,0.06138012264145809
Before,THYAO.IS,Turkish Airlines,Treatment Big,60,0.01747311457935,0.11388322027026583,0.009291877713317614,0.8984335345545872,0.5338101129029085,0.042873812013456185,0.06882161680956567
Before,UAL,United Airlines Holdings,Treatment Big,60,0.013791032156754732,0.09092307891233026,0.005359120063874251,0.9259617718823043,0.6445687987589621,0.008127682398714758,0.11468596915725726
Before,AAVVF,Avianca Holdings SA,Treatment Small,60,-0.011614321072139094,0.11271843163851768,-0.01971438814054117,0.8895197640113001,0.1848913565236787,0.04280711126766815,0.06886424193260743
Before,AC.TO,Air Canada,Treatment Small,60,0.035948994289003965,0.11595601576651197,0.0267908897943542,1.0057095675972905,0.07927570953037853,0.0254326231808582,0.08318232135385428
Before,ALK,Alaska Air Group,Treatment Small,60,0.00795174775561503,0.08621495194178244,0.001119513469640708,0.7502910011001566,0.9203528521912188,0.02491784780005771,0.08374651358050456
Before,CPA,Copa Holdings,Treatment Small,60,-0.00014121576467466997,0.11709223112323953,-0.013087125136659472,1.4216724568123034,0.3695238691785403,0.0013791526466098683,0.16301042449028447
Before,JBLU,JetBlue Airways,Treatment Small,60,0.014776720120377146,0.09335427605003604,0.007290987410468423,0.8220558098271735,0.5477519523026892,0.02317775738228143,0.08574456809374886
Before,JET2.L,Jet2 plc,Treatment Small,60,0.022971954731135336,0.1052189680010783,0.017939123596017688,0.552687122935359,0.2049921928303463,0.18193394222938095,0.030510059753831142
Before,TUI1.DE,TUI Group,Treatment Small,60,0.001760027283851399,0.08582512195665222,-0.003189292529413992,0.5435162147590441,0.7793997187942345,0.1062966722289428,0.04434744392826373
