Ticker,Name,Group,SuperGroup,CAR_sum,CAR_compound,mean_AR,worst_AR
1055.HK,China Southern Airlines,Control Big,Control,-0.0820046478581902,-0.07963064659367247,-0.01640092957163804,-0.0286146474456965
0670.HK,China Eastern Airlines,Control Big,Control,-0.046762767898764,-0.04705446707606764,-0.0093525535797528,-0.04059611492611
9201.T,Japan Airlines,Control Big,Control,-0.0285064747810374,-0.0286251613778149,-0.0057012949562074795,-0.0214061167312604
9202.T,ANA Holdings,Control Big,Control,-0.0280229926833268,-0.027960218872489007,-0.00560459853666536,-0.0217070686423535
C6L.SI,Singapore Airlines,Control Big,Control,-0.0253904474523229,-0.02571406530736786,-0.0050780894904645804,-0.0210687763071995
0293.HK,Cathay Pacific Airways,Control Big,Control,0.005643674936220198,0.005391772609016909,0.0011287349872440397,-0.0148452995397997
DAL,Delta Air Lines,Control Big,Control,0.012018007884873198,0.01185609826965206,0.0024036015769746395,-0.0125735998547598
LTM.SN,LATAM Airlines Group,Control Big,Control,0.056202425932362604,0.056956944972257784,0.011240485186472521,-0.0122451063883344
IAG.L,International Airlines Group,Control Small,Control,-0.0739813377485206,-0.07209944211077413,-0.01479626754970412,-0.025426759353764
EZJ.L,easyJet,Control Small,Control,-0.0694726960848528,-0.06815245144893056,-0.01389453921697056,-0.0302199679327047
WIZZ.L,Wizz Air Holdings,Control Small,Control,-0.047818352241488,-0.047357132870691765,-0.0095636704482976,-0.0294463059226467
AIR.NZ,Air New Zealand,Control Small,Control,-0.0343490258027979,-0.034261337526017455,-0.006869805160559581,-0.0184465804050949
AF.PA,Air France-KLM,Control Small,Control,-0.0307245577742348,-0.03051802720108121,-0.00614491155484696,-0.0130941216284168
QAN.AX,Qantas Airways,Control Small,Control,-0.0233006509848563,-0.023317086279516452,-0.00466013019697126,-0.0171825667269701
LHA.DE,Lufthansa Group,Control Small,Control,0.0105540510597644,0.010479202448504532,0.00211081021195288,-0.0082860098217996
NAS.OL,Norwegian Air Shuttle,Treatment Big,Treatment,-0.17592802848963401,-0.1654396520875665,-0.0351856056979268,-0.0783032033519515
THYAO.IS,Turkish Airlines,Treatment Big,Treatment,-0.1110060688673936,-0.1064289725062969,-0.02220121377347872,-0.0373871329407654
ICAGY,International Consolidated Airlines Group ADR,Treatment Big,Treatment,-0.06373029857038269,-0.06275641873473481,-0.012746059714076538,-0.0285340899314358
LUV,Southwest Airlines,Treatment Big,Treatment,-0.0613563700918377,-0.060075559734242945,-0.012271274018367539,-0.0272157432894585
UAL,United Airlines Holdings,Treatment Big,Treatment,-0.051386062281244496,-0.050890698426129366,-0.010277212456248899,-0.0344818975485226
RYAAY,Ryanair Holdings,Treatment Big,Treatment,-0.0497838528595683,-0.04909366873022092,-0.00995677057191366,-0.0249657344764738
AAL,American Airlines Group,Treatment Big,Treatment,-0.0417464779680628,-0.041998426988921866,-0.00834929559361256,-0.0390280124438886
AC.TO,Air Canada,Treatment Big,Treatment,-0.0374392125255511,-0.03787127194389106,-0.007487842505110221,-0.0433389090910709
TUI1.DE,TUI Group,Treatment Small,Treatment,-0.058221987911943995,-0.057460527850525134,-0.0116443975823888,-0.0260034489481796
JET2.L,Jet2 plc,Treatment Small,Treatment,-0.0431375640430598,-0.042453995324570615,-0.00862751280861196,-0.0138973529096844
CHR.TO,Chorus Aviation,Treatment Small,Treatment,-0.040394180031832996,-0.040046686507872464,-0.008078836006366599,-0.0173389937132611
ALGT,Allegiant Travel,Treatment Small,Treatment,-0.0291603746552496,-0.028931925184573104,-0.00583207493104992,-0.0155462867579174
CPA,Copa Holdings,Treatment Small,Treatment,-0.020451465283978502,-0.020440102421002804,-0.0040902930567957,-0.0140539241708083
AAVVF,Avianca Holdings SA,Treatment Small,Treatment,-0.0175525830101516,-0.019522893553758358,-0.0035105166020303197,-0.0324825590996016
ALK,Alaska Air Group,Treatment Small,Treatment,-0.010002811045023402,-0.010982711390088995,-0.0020005622090046803,-0.0277691212161084
