Period,n_stocks,intercept,beta_coef,intercept_p_value,beta_p_value,r_squared
Before,30,0.013451655662932053,-0.0011634666023939398,0.009004008460494506,0.7591100045161392,0.003413000081310069
After,30,0.01005865435742575,0.0001400965326063832,0.03851419526817604,0.9676095067859318,5.9948207129845166e-05
