Period,Group,n_obs,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,Control Big,288,0.022475722052303373,0.07225325920592778,0.002248398430085137,1.4078659261073534,0.5140451791220966,1.3025397694512177e-38,0.4464791115698651
After,Control Small,252,0.01800681322835716,0.06589472242704905,0.005066931421736896,0.9006440507723125,0.20465335171455304,3.562946023883334e-15,0.21979345964164154
After,Treatment Big,252,0.02031840663429268,0.08105015629315898,-0.0011180467243339294,1.4920239980265984,0.7951734773494981,1.9294802472988247e-29,0.3987067289412215
After,Treatment Small,267,0.021761129927713296,0.10062409070166935,-0.001327165054779322,1.567633734589786,0.8146990300020547,2.0626718055629483e-21,0.2891694041858164
Before,Control Big,480,0.009865442862142805,0.09522233611082112,-0.003705936059103849,1.3148826798899549,0.20436595266945073,8.77267135911186e-89,0.5664248235468197
Before,Control Small,420,0.008000130090804188,0.09117444973154225,-0.00287019094086102,1.0531867787585976,0.4155583286637057,8.961997152322818e-48,0.3964970597925114
Before,Treatment Big,420,0.0026331292978458267,0.09476094716695753,-0.008465394837148645,1.0752965665558436,0.022720860636026678,1.0539484811986307e-45,0.38262488148821494
Before,Treatment Small,480,0.0032736261426381265,0.11056052327829975,-0.00885073935298963,1.1746866908194684,0.03525195532598135,2.501654221446823e-44,0.3353434729943353
