Period,TwoGroup,n_obs,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,Control,465,0.004964194691888247,0.14400478723422702,-0.015379578326907863,1.2304645669455734,0.03181986902806353,3.0869438627658116e-10,0.08209520070491128
After,Treatment,465,0.01087894990312698,0.15485621474971514,-0.011443840846028168,1.350162677631039,0.13620932473528982,1.2885238176930524e-10,0.0854768134082543
Before,Control,1087,0.01668247604460305,0.11719386881164533,0.00640922547944005,0.9120335179422675,0.0568342615363443,3.0915452245000806e-40,0.15004822256895367
Before,Treatment,1125,0.019438240363361226,0.13463025003252968,0.008912696573696576,0.9313146895277798,0.021472119783725617,2.8285068919931817e-32,0.11716211798290366
