Date,Ticker,Name,Group,Open,High,Low,Close,Adj Close,Volume
2018-03-01,ALL,Allstate,Control Small,92.33000183105469,97.95999908447266,90.66000366210938,94.80000305175781,78.46794891357422,48933400.0
2018-03-01,BAC,Bank of America,Control Big,32.06999969482422,33.04999923706055,29.010000228881836,29.989999771118164,24.711658477783203,1488464200.0
2018-03-01,BLK,BlackRock,Control Big,548.5999755859375,578.7999877929688,518.5499877929688,541.719970703125,441.0194091796875,11162000.0
2018-03-01,BOKF,BOK Financial,Treatment Small,94.44999694824219,107.0,92.87999725341797,98.98999786376953,81.03157806396484,3303900.0
2018-03-01,BX,Blackstone,Control Big,34.0,34.689998626708984,31.25,31.950000762939453,23.43829345703125,105430000.0
2018-03-01,C,Citigroup,Control Big,75.5,76.52999877929688,67.5,67.5,51.56826400756836,397762100.0
2018-03-01,CFG,Citizens Financial Group,Treatment Big,43.540000915527344,46.65999984741211,40.79999923706055,41.97999954223633,30.04709243774414,98236200.0
2018-03-01,CMA,Comerica,Treatment Small,97.22000122070312,102.66000366210938,91.5,95.93000030517578,67.23721313476562,34539024.0
2018-03-01,COF,Capital One Financial,Control Small,98.01000213623047,101.44000244140625,92.38999938964844,95.81999969482422,83.48126220703125,44531300.0
2018-03-01,EWBC,East West Bancorp,Treatment Small,65.51000213623047,69.22000122070312,60.33000183105469,62.540000915527344,51.57992935180664,25777400.0
2018-03-01,FHN,First Horizon,Treatment Small,19.06999969482422,20.530000686645508,18.200000762939453,18.829999923706055,13.91919994354248,64666700.0
2018-03-01,FITB,Fifth Third Bancorp,Treatment Big,33.02000045776367,34.56999969482422,30.889999389648438,31.75,23.313270568847656,103778200.0
2018-03-01,GS,Goldman Sachs,Control Big,262.6099853515625,275.30999755859375,244.3699951171875,251.86000061035156,210.55734252929688,62342400.0
2018-03-01,HBAN,Huntington Bancshares,Treatment Big,15.720000267028809,16.600000381469727,14.680000305175781,15.100000381469727,10.461434364318848,174124300.0
2018-03-01,HIG,The Hartford,Control Small,52.75,56.130001068115234,50.150001525878906,51.52000045776367,42.9744758605957,52960000.0
2018-03-01,JPM,JPMorgan Chase,Control Big,115.4800033569336,118.75,106.6500015258789,109.97000122070312,88.41474914550781,321513800.0
2018-03-01,KEY,KeyCorp,Treatment Small,21.18000030517578,22.399999618530273,19.0,19.549999237060547,13.529583930969238,215585600.0
2018-03-01,MET,MetLife,Control Small,46.22999954223633,48.0099983215332,44.040000915527344,45.88999938964844,34.89101028442383,130066200.0
2018-03-01,MS,Morgan Stanley,Control Big,55.88999938964844,59.380001068115234,51.970001220703125,53.959999084472656,42.40932846069336,204954800.0
2018-03-01,MTB,M&T Bank,Treatment Big,190.60000610351562,197.35000610351562,177.00999450683594,184.36000061035156,143.78477478027344,14096400.0
2018-03-01,PB,Prosperity Bancshares,Treatment Small,74.80999755859375,79.19999694824219,70.68000030517578,72.62999725341797,56.63097381591797,8289400.0
2018-03-01,PNC,PNC Financial Services,Treatment Big,157.66000366210938,163.0,146.91000366210938,151.24000549316406,114.32621002197266,43813000.0
2018-03-01,PRU,Prudential Financial,Control Small,106.44999694824219,111.18000030517578,100.26000213623047,103.55000305175781,70.21321105957031,46503900.0
2018-03-01,SPY,SPDR S&P 500 ETF Trust,Benchmark,271.4100036621094,280.4100036621094,257.8299865722656,263.1499938964844,231.61566162109375,2323561800.0
2018-03-01,SYF,Synchrony Financial,Control Small,36.5,37.56999969482422,32.36000061035156,33.529998779296875,27.47871208190918,134295400.0
2018-03-01,TFC,Truist Financial,Treatment Big,54.31999969482422,56.310001373291016,50.56999969482422,52.040000915527344,36.83987045288086,82417100.0
2018-03-01,TRV,Travelers,Control Small,139.39999389648438,143.25,134.77000427246094,138.86000061035156,116.31834411621094,35478900.0
2018-03-01,USB,U.S. Bancorp,Treatment Big,54.38999938964844,55.5099983215332,49.150001525878906,50.5,36.46725082397461,144554100.0
2018-03-01,WAL,Western Alliance Bancorporation,Treatment Small,58.459999084472656,62.4900016784668,55.619998931884766,58.11000061035156,50.42985153198242,15465500.0
2018-03-01,WFC,Wells Fargo,Control Big,58.25,58.939998626708984,50.689998626708984,52.40999984741211,41.98933792114258,463858700.0
2018-03-01,ZION,Zions Bancorporation,Treatment Small,55.11000061035156,57.290000915527344,51.16999816894531,52.72999954223633,40.72486114501953,53087500.0
2018-04-01,ALL,Allstate,Control Small,95.94000244140625,99.26000213623047,92.11000061035156,97.81999969482422,81.374267578125,37316100.0
2018-04-01,BAC,Bank of America,Control Big,29.799999237060547,31.170000076293945,28.75,29.920000076293945,24.746488571166992,1471183500.0
2018-04-01,BLK,BlackRock,Control Big,537.760009765625,544.5800170898438,509.1199951171875,521.5,426.8123474121094,13371500.0
2018-04-01,BOKF,BOK Financial,Treatment Small,98.80000305175781,106.48999786376953,95.69999694824219,100.68000030517578,82.4150161743164,3720800.0
2018-04-01,BX,Blackstone,Control Big,31.790000915527344,32.83000183105469,30.1299991607666,30.950000762939453,22.704700469970703,113268400.0
2018-04-01,C,Citigroup,Control Big,68.33000183105469,73.37999725341797,66.55000305175781,68.2699966430664,52.15653610229492,372694400.0
2018-04-01,CFG,Citizens Financial Group,Treatment Big,41.939998626708984,43.619998931884766,40.45000076293945,41.4900016784668,29.696374893188477,95960500.0
2018-04-01,CMA,Comerica,Treatment Small,95.62000274658203,99.37000274658203,91.94999694824219,94.58000183105469,66.4916763305664,33493400.0
2018-04-01,COF,Capital One Financial,Control Small,95.52999877929688,99.1500015258789,90.58999633789062,90.62000274658203,78.95086669921875,54039300.0
2018-04-01,EWBC,East West Bancorp,Treatment Small,62.68000030517578,67.87000274658203,59.18000030517578,66.62000274658203,54.944923400878906,19831000.0
2018-04-01,FHN,First Horizon,Treatment Small,18.700000762939453,19.489999771118164,18.219999313354492,18.299999237060547,13.609078407287598,79665500.0
2018-04-01,FITB,Fifth Third Bancorp,Treatment Big,31.670000076293945,34.16999816894531,30.450000762939453,33.16999816894531,24.48092269897461,116596800.0
2018-04-01,GS,Goldman Sachs,Control Big,251.25999450683594,262.5,237.50999450683594,238.3300018310547,199.24615478515625,76273900.0
2018-04-01,HBAN,Huntington Bancshares,Treatment Big,15.069999694824219,15.25,14.380000114440918,14.90999984741211,10.401130676269531,175125000.0
2018-04-01,HIG,The Hartford,Control Small,51.38999938964844,55.15999984741211,49.66999816894531,53.84000015258789,45.12699508666992,42622700.0
2018-04-01,JPM,JPMorgan Chase,Control Big,109.95999908447266,115.1500015258789,106.08000183105469,108.77999877929688,87.45797729492188,340100300.0
2018-04-01,KEY,KeyCorp,Treatment Small,19.559999465942383,20.600000381469727,18.719999313354492,19.920000076293945,13.785642623901367,205283100.0
2018-04-01,MET,MetLife,Control Small,45.849998474121094,48.630001068115234,44.439998626708984,47.66999816894531,36.24436950683594,106199400.0
2018-04-01,MS,Morgan Stanley,Control Big,53.83000183105469,55.38999938964844,51.58000183105469,51.619998931884766,40.57024002075195,222555100.0
2018-04-01,MTB,M&T Bank,Treatment Big,183.39999389648438,188.8000030517578,175.89999389648438,182.27000427246094,142.7215576171875,16732700.0
2018-04-01,PB,Prosperity Bancshares,Treatment Small,72.01000213623047,76.7300033569336,69.86000061035156,71.7699966430664,56.22526931762695,8212200.0
2018-04-01,PNC,PNC Financial Services,Treatment Big,151.24000549316406,154.5800018310547,139.86000061035156,145.61000061035156,110.07032775878906,50905100.0
2018-04-01,PRU,Prudential Financial,Control Small,103.41000366210938,108.91999816894531,99.30000305175781,106.31999969482422,72.09144592285156,33891700.0
2018-04-01,SPY,SPDR S&P 500 ETF Trust,Benchmark,262.54998779296875,271.29998779296875,254.6699981689453,264.510009765625,233.74508666992188,1998466500.0
2018-04-01,SYF,Synchrony Financial,Control Small,33.43000030517578,36.209999084472656,32.220001220703125,33.16999816894531,27.183679580688477,118520400.0
2018-04-01,TFC,Truist Financial,Treatment Big,51.869998931884766,54.70000076293945,50.130001068115234,52.79999923706055,37.40888595581055,92018700.0
2018-04-01,TRV,Travelers,Control Small,138.52000427246094,140.02999877929688,130.7899932861328,131.60000610351562,110.81137084960938,33220900.0
2018-04-01,USB,U.S. Bancorp,Treatment Big,50.45000076293945,51.88999938964844,49.029998779296875,50.45000076293945,36.65166473388672,154604600.0
2018-04-01,WAL,Western Alliance Bancorporation,Treatment Small,57.880001068115234,60.630001068115234,55.31999969482422,58.97999954223633,51.18486404418945,11634400.0
2018-04-01,WFC,Wells Fargo,Control Big,52.369998931884766,53.959999084472656,50.2599983215332,51.959999084472656,41.628822326660156,435118800.0
2018-04-01,ZION,Zions Bancorporation,Treatment Small,52.63999938964844,56.95000076293945,50.84000015258789,54.75,42.28496551513672,47762800.0
2018-05-01,ALL,Allstate,Control Small,97.5999984741211,98.19999694824219,91.77999877929688,93.4800033569336,77.763916015625,42411000.0
2018-05-01,BAC,Bank of America,Control Big,29.920000076293945,31.360000610351562,28.43000030517578,29.040000915527344,24.018657684326172,1414580700.0
2018-05-01,BLK,BlackRock,Control Big,517.969970703125,549.5800170898438,500.8500061035156,534.22998046875,437.2310485839844,10282700.0
2018-05-01,BOKF,BOK Financial,Treatment Small,100.69999694824219,106.6500015258789,99.0,100.94999694824219,82.63600158691406,2842800.0
2018-05-01,BX,Blackstone,Control Big,31.0,32.45000076293945,30.649999618530273,31.93000030517578,23.686721801757812,86550900.0
2018-05-01,C,Citigroup,Control Big,68.23999786376953,73.30000305175781,65.19999694824219,66.69000244140625,50.949459075927734,347514600.0
2018-05-01,CFG,Citizens Financial Group,Treatment Big,41.099998474121094,43.119998931884766,39.06999969482422,40.849998474121094,29.238306045532227,92112100.0
2018-05-01,CMA,Comerica,Treatment Small,94.41999816894531,101.05000305175781,91.48999786376953,94.29000091552734,66.28780364990234,29230774.0
2018-05-01,COF,Capital One Financial,Control Small,90.3499984741211,97.87000274658203,86.94999694824219,94.0,81.8956298828125,64502000.0
2018-05-01,EWBC,East West Bancorp,Treatment Small,66.4000015258789,72.72000122070312,65.61000061035156,69.4800033569336,57.47414779663086,16099200.0
2018-05-01,FHN,First Horizon,Treatment Small,18.25,19.75,17.979999542236328,18.540000915527344,13.787561416625977,76833700.0
2018-05-01,FITB,Fifth Third Bancorp,Treatment Big,33.18000030517578,34.66999816894531,30.0,30.579999923706055,22.56938934326172,177137800.0
2018-05-01,GS,Goldman Sachs,Control Big,237.50999450683594,245.8800048828125,224.08999633789062,225.8800048828125,188.8378448486328,63073600.0
2018-05-01,HBAN,Huntington Bancshares,Treatment Big,14.829999923706055,15.510000228881836,14.260000228881836,14.869999885559082,10.373224258422852,171026200.0
2018-05-01,HIG,The Hartford,Control Small,53.66999816894531,54.040000915527344,50.83000183105469,52.33000183105469,43.86136245727539,41603700.0
2018-05-01,JPM,JPMorgan Chase,Control Big,108.44999694824219,114.7300033569336,104.95999908447266,107.01000213623047,86.47122192382812,273649200.0
2018-05-01,KEY,KeyCorp,Treatment Small,19.889999389648438,20.780000686645508,19.010000228881836,19.440000534057617,13.453455924987793,178467500.0
2018-05-01,MET,MetLife,Control Small,47.59000015258789,48.70000076293945,43.869998931884766,45.9900016784668,34.967037200927734,115440500.0
2018-05-01,MS,Morgan Stanley,Control Big,51.38999938964844,55.63999938964844,49.5099983215332,50.13999938964844,39.596675872802734,196363000.0
2018-05-01,MTB,M&T Bank,Treatment Big,181.4199981689453,187.07000732421875,170.5800018310547,172.0800018310547,134.74258422851562,14962600.0
2018-05-01,PB,Prosperity Bancshares,Treatment Small,71.6500015258789,76.91999816894531,70.33999633789062,72.43000030517578,56.74233627319336,8975000.0
2018-05-01,PNC,PNC Financial Services,Treatment Big,145.27000427246094,152.2899932861328,139.9600067138672,143.41000366210938,108.9431381225586,42538200.0
2018-05-01,PRU,Prudential Financial,Control Small,106.0,106.20999908447266,94.51000213623047,96.83999633789062,65.66344451904297,52252200.0
2018-05-01,SPY,SPDR S&P 500 ETF Trust,Benchmark,263.8699951171875,274.25,259.04998779296875,270.94000244140625,239.42727661132812,1606397200.0
2018-05-01,SYF,Synchrony Financial,Control Small,33.08000183105469,36.31999969482422,31.739999771118164,34.630001068115234,28.380186080932617,104918000.0
2018-05-01,TFC,Truist Financial,Treatment Big,52.68000030517578,56.029998779296875,51.779998779296875,52.5,37.19634246826172,78417400.0
2018-05-01,TRV,Travelers,Control Small,131.55999755859375,132.08999633789062,125.1500015258789,128.52000427246094,108.21791076660156,27630300.0
2018-05-01,USB,U.S. Bancorp,Treatment Big,50.25,51.86000061035156,48.4900016784668,49.9900016784668,36.31748962402344,139437500.0
2018-05-01,WAL,Western Alliance Bancorporation,Treatment Small,58.970001220703125,62.65999984741211,57.59000015258789,60.2599983215332,52.29568099975586,11160600.0
2018-05-01,WFC,Wells Fargo,Control Big,51.7599983215332,56.18000030517578,50.810001373291016,53.9900016784668,43.25519561767578,402405200.0
2018-05-01,ZION,Zions Bancorporation,Treatment Small,54.560001373291016,59.189998626708984,53.7599983215332,54.810001373291016,42.33130645751953,44232800.0
2018-06-01,ALL,Allstate,Control Small,94.25,94.91999816894531,90.20999908447266,91.2699966430664,76.29788208007812,45471800.0
2018-06-01,BAC,Bank of America,Control Big,29.489999771118164,30.40999984741211,28.010000228881836,28.190000534057617,23.4108829498291,1377574500.0
2018-06-01,BLK,BlackRock,Control Big,540.6500244140625,557.0,497.3399963378906,499.0400085449219,408.430419921875,11905100.0
2018-06-01,BOKF,BOK Financial,Treatment Small,101.77999877929688,106.06999969482422,92.38999938964844,94.01000213623047,77.29182434082031,6099900.0
2018-06-01,BX,Blackstone,Control Big,32.08000183105469,33.540000915527344,31.530000686645508,32.16999816894531,23.864761352539062,72040800.0
2018-06-01,C,Citigroup,Control Big,67.48999786376953,69.16999816894531,64.37999725341797,66.91999816894531,51.36709976196289,369881700.0
2018-06-01,CFG,Citizens Financial Group,Treatment Big,41.459999084472656,42.8650016784668,38.84000015258789,38.900001525878906,27.991012573242188,106182500.0
2018-06-01,CMA,Comerica,Treatment Small,95.69999694824219,98.30000305175781,90.4000015258789,90.91999816894531,63.91860580444336,38927613.0
2018-06-01,COF,Capital One Financial,Control Small,94.94000244140625,98.25,91.5199966430664,91.9000015258789,80.41313171386719,44275900.0
2018-06-01,EWBC,East West Bancorp,Treatment Small,70.69000244140625,73.9800033569336,65.11000061035156,65.19999694824219,53.9337043762207,15767600.0
2018-06-01,FHN,First Horizon,Treatment Small,18.81999969482422,19.43000030517578,17.829999923706055,17.84000015258789,13.26699447631836,72473400.0
2018-06-01,FITB,Fifth Third Bancorp,Treatment Big,30.889999389648438,32.0099983215332,28.549999237060547,28.700000762939453,21.181869506835938,136492300.0
2018-06-01,GS,Goldman Sachs,Control Big,228.39999389648438,238.22999572753906,219.1199951171875,220.57000732421875,185.05072021484375,60707000.0
2018-06-01,HBAN,Huntington Bancshares,Treatment Big,15.15999984741211,15.850000381469727,14.729999542236328,14.760000228881836,10.296489715576172,186745500.0
2018-06-01,HIG,The Hartford,Control Small,52.900001525878906,53.7599983215332,50.459999084472656,51.130001068115234,43.057857513427734,45550400.0
2018-06-01,JPM,JPMorgan Chase,Control Big,108.33999633789062,111.91000366210938,103.11000061035156,104.19999694824219,84.20055389404297,307772000.0
2018-06-01,KEY,KeyCorp,Treatment Small,19.770000457763672,21.049999237060547,19.450000762939453,19.540000915527344,13.602521896362305,203470600.0
2018-06-01,MET,MetLife,Control Small,46.75,47.84000015258789,43.5099983215332,43.599998474121094,33.4645881652832,141671900.0
2018-06-01,MS,Morgan Stanley,Control Big,50.93000030517578,52.720001220703125,47.11000061035156,47.400001525878906,37.432838439941406,208034500.0
2018-06-01,MTB,M&T Bank,Treatment Big,174.25,180.1300048828125,167.32000732421875,170.14999389648438,133.84625244140625,20916100.0
