Group,mean_monthly_return,std_monthly_return,alpha,beta,reg_r2,mean_monthly_return_pct,beta_rank_desc
Treatment Small,0.0041891545924098,0.177615680915939,-0.0199779660644665,1.4400329924737822,0.0750088403113505,0.41891545924097995,1
Control Small,0.0071849355149506,0.1898223280365098,-0.0148214704391116,1.3112836679864983,0.0544538875351845,0.71849355149506,2
Control Big,0.0031052708344211,0.085614601602449,-0.0160656897897053,1.142329538885417,0.2030327306434445,0.31052708344211,3
Treatment Big,0.0102193402427092,0.1229447458312549,-0.0089068934918339,1.139664422193814,0.0979970395757745,1.02193402427092,4
