Date,Group,n_stocks,AAR,t_stat_vs_0,p_value_vs_0
2023-08-04,Control Big,8,-0.002730519751979612,-1.5480447071209231,0.1655382570126517
2023-08-04,Control Small,7,0.013102245685966915,1.2301502060034877,0.2646807511144514
2023-08-04,Treatment Big,8,-0.016951975041747676,-0.6617831580842158,0.5292853368515642
2023-08-04,Treatment Small,7,0.03398337889089624,1.2810506717164376,0.2474593745356198
2023-08-07,Control Big,8,-0.0017904854688117874,-0.6328273255858203,0.546954652846142
2023-08-07,Control Small,7,-0.02169805881360033,-3.6953485737554095,0.010144163060874397
2023-08-07,Treatment Big,8,-0.0015358695141708375,-0.1612171258523119,0.8764767122661528
2023-08-07,Treatment Small,7,-0.02868012501907507,-1.9776028055629344,0.09534018115188515
2023-08-08,Control Big,8,0.010192508565037388,1.5278744113700424,0.17038561048335824
2023-08-08,Control Small,7,-0.0019702468733590285,-0.3581839178357286,0.7324702331406798
2023-08-08,Treatment Big,8,-0.0422494033548597,-3.7246538050788147,0.007410600905884488
2023-08-08,Treatment Small,7,-0.016773948291020857,-1.9769616114644462,0.095424950964851
2023-08-09,Control Big,8,0.004357385840567525,1.0698020069662542,0.32020389192162574
2023-08-09,Control Small,7,-0.010099435323150644,-1.839322595612959,0.11548652053439697
2023-08-09,Treatment Big,8,-0.003930127155637388,-0.8010656710001255,0.4494246978597628
2023-08-09,Treatment Small,7,0.004351609034166729,0.8745636711558411,0.4154419351741847
2023-08-10,Control Big,8,-0.0075036589655462,-2.342856452722886,0.05162743381073347
2023-08-10,Control Small,7,-0.0241740759703318,-2.1566167420412894,0.07442351041901411
2023-08-10,Treatment Big,8,0.0029823535469440123,0.4382399728821303,0.6744179465926425
2023-08-10,Treatment Small,7,-0.0001962960458051861,-0.03722541587027356,0.9715129022282154
