Group,n_stocks,CAAR_sum_mean,CAAR_compound_mean,t_stat_CAR_vs_0,p_value_CAR_vs_0
Control Big,8,-0.013167351341008965,-0.012939026135927553,-0.9753236119610806,0.3618920348946566
Control Small,7,-0.03448085557358282,-0.03411274531035191,-3.7729558374386865,0.009256547143878326
Treatment Big,8,-0.07749693393830835,-0.0750766467956747,-4.7726991132983,0.0020293627817142288
Treatment Small,7,-0.025142585592370533,-0.02543823692921627,-2.893793212469656,0.027556754126424346
