Date,Ticker,Name,Group,Open,High,Low,Close,Adj Close,Volume,Daily_Return,SPY_Return,Market_Adjusted_Return,Days_to_Event
2019-03-07,0293.HK,Cathay Pacific Airways,Control Big,11.603200912475586,11.603200912475586,11.307024002075195,11.37671184539795,9.043851852416992,3444058.0,-0.012103113669803434,-0.008365272652910094,-0.0037378410168933396,-2
2019-03-08,0293.HK,Cathay Pacific Airways,Control Big,11.307024002075195,11.42897891998291,11.132801055908203,11.185068130493164,8.89150333404541,3594732.0,-0.016845534497656134,-0.002000234957856395,-0.014845299539799739,-1
2019-03-11,0293.HK,Cathay Pacific Airways,Control Big,11.185068130493164,11.42897891998291,11.185068130493164,11.4115571975708,9.071551322937012,3664285.0,0.0202494428812956,0.014501494768125678,0.005747948113169921,0
2019-03-12,0293.HK,Cathay Pacific Airways,Control Big,11.481245994567871,11.603200912475586,11.394135475158691,11.481245994567871,9.126949310302734,4546482.0,0.00610678211406368,0.003770573639223729,0.0023362084748399514,1
2019-03-13,0293.HK,Cathay Pacific Airways,Control Big,11.568357467651367,11.847112655639648,11.481245994567871,11.742579460144043,9.334695816040039,5982435.0,0.02276187789306494,0.006619218988161535,0.016142658904903406,2
2019-03-07,0670.HK,China Eastern Airlines,Control Big,5.059999942779541,5.070000171661377,4.900000095367432,4.929999828338623,4.8380842208862305,6220533.0,-0.027613568177420555,-0.008365272652910094,-0.01924829552451046,-2
2019-03-08,0670.HK,China Eastern Airlines,Control Big,4.920000076293945,4.920000076293945,4.699999809265137,4.71999979019165,4.631999492645264,23067283.0,-0.04259634988396643,-0.002000234957856395,-0.04059611492611004,-1
2019-03-11,0670.HK,China Eastern Airlines,Control Big,4.71999979019165,4.840000152587891,4.710000038146973,4.789999961853027,4.700694561004639,6958434.0,0.014830543152789533,0.014501494768125678,0.0003290483846638548,0
2019-03-12,0670.HK,China Eastern Airlines,Control Big,4.880000114440918,4.929999828338623,4.789999961853027,4.929999828338623,4.8380842208862305,11104000.0,0.029227523315666915,0.003770573639223729,0.025456949676443186,1
2019-03-13,0670.HK,China Eastern Airlines,Control Big,4.869999885559082,4.929999828338623,4.760000228881836,4.900000095367432,4.808643817901611,7965681.0,-0.006085136521088996,0.006619218988161535,-0.012704355509250531,2
2019-03-07,1055.HK,China Southern Airlines,Control Big,6.480000019073486,6.489999771118164,6.210000038146973,6.25,6.184027671813965,16330915.0,-0.03697992009860662,-0.008365272652910094,-0.02861464744569653,-2
2019-03-08,1055.HK,China Southern Airlines,Control Big,6.170000076293945,6.25,6.0,6.090000152587891,6.025716781616211,19672900.0,-0.025599964715441903,-0.002000234957856395,-0.023599729757585508,-1
2019-03-11,1055.HK,China Southern Airlines,Control Big,5.989999771118164,6.190000057220459,5.960000038146973,6.050000190734863,5.986138820648193,14817120.0,-0.006568174775284041,0.014501494768125678,-0.02106966954340972,0
2019-03-12,1055.HK,China Southern Airlines,Control Big,6.070000171661377,6.21999979019165,6.019999980926514,6.079999923706055,6.015821933746338,15895960.0,0.004958640951619353,0.003770573639223729,0.0011880673123956242,1
2019-03-13,1055.HK,China Southern Airlines,Control Big,6.079999923706055,6.110000133514404,5.949999809265137,6.059999942779541,5.996033191680908,9506445.0,-0.0032894494357326165,0.006619218988161535,-0.009908668423894151,2
2019-03-07,9201.T,Japan Airlines,Control Big,3990.0,4025.0,3989.0,4016.0,3517.5498046875,1101000.0,0.007021036830441529,-0.008365272652910094,0.015386309483351623,-2
2019-03-08,9201.T,Japan Airlines,Control Big,3982.0,3996.0,3922.0,3922.0,3435.216796875,1709600.0,-0.023406351689116867,-0.002000234957856395,-0.02140611673126047,-1
2019-03-11,9201.T,Japan Airlines,Control Big,3936.0,3970.0,3936.0,3953.0,3462.369384765625,537400.0,0.007904184654466517,0.014501494768125678,-0.0065973101136591605,0
2019-03-12,9201.T,Japan Airlines,Control Big,3975.0,3999.0,3952.0,3976.0,3482.514892578125,544700.0,0.0058184166892012446,0.003770573639223729,0.0020478430499775158,1
2019-03-13,9201.T,Japan Airlines,Control Big,3961.0,3971.0,3913.0,3931.0,3443.099853515625,1038300.0,-0.011317981481285488,0.006619218988161535,-0.017937200469447023,2
2019-03-07,9202.T,ANA Holdings,Control Big,4053.0,4062.0,4030.0,4031.0,3737.91162109375,920700.0,-0.001486244784626889,-0.008365272652910094,0.006879027868283205,-2
2019-03-08,9202.T,ANA Holdings,Control Big,4030.0,4041.0,3988.0,3988.0,3698.0380859375,1572700.0,-0.010667329567461192,-0.002000234957856395,-0.008667094609604797,-1
2019-03-11,9202.T,ANA Holdings,Control Big,4004.0,4025.0,3993.0,4015.0,3723.07470703125,708100.0,0.006770244251663282,0.014501494768125678,-0.007731250516462396,0
2019-03-12,9202.T,ANA Holdings,Control Big,4054.0,4063.0,4036.0,4043.0,3749.039306640625,617700.0,0.006973966856034242,0.003770573639223729,0.003203393216810513,1
2019-03-13,9202.T,ANA Holdings,Control Big,4030.0,4045.0,3974.0,3982.0,3692.474365234375,1145400.0,-0.015087849654191965,0.006619218988161535,-0.0217070686423535,2
2019-03-07,AAL,American Airlines Group,Treatment Big,32.70000076293945,32.70000076293945,31.6200008392334,32.220001220703125,31.79374122619629,7112400.0,-0.016483342069631868,-0.008365272652910094,-0.008118069416721774,-2
2019-03-08,AAL,American Airlines Group,Treatment Big,31.899999618530273,32.119998931884766,31.3700008392334,31.90999984741211,31.487838745117188,6200500.0,-0.009621468543219325,-0.002000234957856395,-0.00762123358536293,-1
2019-03-11,AAL,American Airlines Group,Treatment Big,31.639999389648438,32.27000045776367,31.56999969482422,32.04999923706055,31.625986099243164,8944000.0,0.004387324110880719,0.014501494768125678,-0.010114170657244959,0
2019-03-12,AAL,American Airlines Group,Treatment Big,32.189998626708984,32.189998626708984,30.8799991607666,30.920000076293945,30.510934829711914,10887500.0,-0.03525743880466492,0.003770573639223729,-0.03902801244388865,1
2019-03-13,AAL,American Airlines Group,Treatment Big,31.219999313354492,31.93000030517578,31.0,31.84000015258789,31.418764114379883,11092900.0,0.02975422712331688,0.006619218988161535,0.023135008135155344,2
2019-03-07,AAVVF,Avianca Holdings SA,Treatment Small,1.75,1.7599999904632568,1.7100000381469727,1.7400000095367432,1.7400000095367432,8400.0,-0.02247188904267039,-0.008365272652910094,-0.014106616389760296,-2
2019-03-08,AAVVF,Avianca Holdings SA,Treatment Small,1.7000000476837158,1.7000000476837158,1.6399999856948853,1.6799999475479126,1.6799999475479126,8700.0,-0.03448279405745802,-0.002000234957856395,-0.03248255909960163,-1
2019-03-11,AAVVF,Avianca Holdings SA,Treatment Small,1.6699999570846558,1.7300000190734863,1.6299999952316284,1.6799999475479126,1.6799999475479126,14500.0,0.0,0.014501494768125678,-0.014501494768125678,0
2019-03-12,AAVVF,Avianca Holdings SA,Treatment Small,1.6699999570846558,1.690000057220459,1.659999966621399,1.6699999570846558,1.6699999570846558,2900.0,-0.005952375461590109,0.003770573639223729,-0.009722949100813838,1
2019-03-13,AAVVF,Avianca Holdings SA,Treatment Small,1.7000000476837158,1.7699999809265137,1.6799999475479126,1.7699999809265137,1.7699999809265137,29300.0,0.05988025533631114,0.006619218988161535,0.053261036348149604,2
2019-03-07,AC.TO,Air Canada,Treatment Big,32.560001373291016,33.029998779296875,32.099998474121094,33.0,33.0,1241900.0,0.006711446885168115,-0.008365272652910094,0.01507671953807821,-2
2019-03-08,AC.TO,Air Canada,Treatment Big,32.59000015258789,33.369998931884766,32.400001525878906,33.15999984741211,33.15999984741211,984600.0,0.004848480224609375,-0.002000234957856395,0.00684871518246577,-1
2019-03-11,AC.TO,Air Canada,Treatment Big,32.599998474121094,33.400001525878906,32.58000183105469,33.36000061035156,33.36000061035156,745300.0,0.006031386123636073,0.014501494768125678,-0.008470108644489605,0
2019-03-12,AC.TO,Air Canada,Treatment Big,33.349998474121094,33.43000030517578,31.920000076293945,32.040000915527344,32.040000915527344,1503200.0,-0.039568335451847236,0.003770573639223729,-0.043338909091070965,1
2019-03-13,AC.TO,Air Canada,Treatment Big,32.0,32.689998626708984,31.350000381469727,32.0099983215332,32.0099983215332,2470100.0,-0.0009364105223730324,0.006619218988161535,-0.007555629510534567,2
2019-03-07,AF.PA,Air France-KLM,Control Small,54.746944427490234,54.746944427490234,53.359989166259766,53.46085739135742,53.46085739135742,509280.0,-0.01851855612913822,-0.008365272652910094,-0.010153283476228125,-2
2019-03-08,AF.PA,Air France-KLM,Control Small,53.05738067626953,53.511295318603516,52.52781677246094,52.653900146484375,52.653900146484375,497142.0,-0.015094356586273228,-0.002000234957856395,-0.013094121628416833,-1
2019-03-11,AF.PA,Air France-KLM,Control Small,52.83042526245117,53.914772033691406,52.70433807373047,53.914772033691406,53.914772033691406,558569.0,0.02394641011775489,0.014501494768125678,0.009444915349629213,0
2019-03-12,AF.PA,Air France-KLM,Control Small,54.293033599853516,54.97390365600586,53.10781478881836,53.46085739135742,53.46085739135742,518540.0,-0.00841911456196709,0.003770573639223729,-0.012189688201190818,1
2019-03-13,AF.PA,Air France-KLM,Control Small,53.38520812988281,53.586944580078125,52.77998733520508,53.561729431152344,53.561729431152344,318832.0,0.0018868391701332143,0.006619218988161535,-0.0047323798180283205,2
2019-03-07,AIR.NZ,Air New Zealand,Control Small,1.5683790445327759,1.5683790445327759,1.5499999523162842,1.5622529983520508,1.2020388841629028,2104344.0,0.007905264372103815,-0.008365272652910094,0.01627053702501391,-2
2019-03-08,AIR.NZ,Air New Zealand,Control Small,1.559188961982727,1.5683790445327759,1.5530630350112915,1.5530630350112915,1.1949678659439087,1571506.0,-0.005882520367815225,-0.002000234957856395,-0.00388228540995883,-1
2019-03-11,AIR.NZ,Air New Zealand,Control Small,1.5622529983520508,1.5745049715042114,1.54693603515625,1.54693603515625,1.1902536153793335,2377176.0,-0.00394508563696927,0.014501494768125678,-0.018446580405094948,0
2019-03-12,AIR.NZ,Air New Zealand,Control Small,1.5622529983520508,1.5653159618377686,1.5101770162582397,1.5316200256347656,1.1784690618515015,3343541.0,-0.009900876061675556,0.003770573639223729,-0.013671449700899285,1
2019-03-13,AIR.NZ,Air New Zealand,Control Small,1.5346829891204834,1.5438729524612427,1.519366979598999,1.519366979598999,1.1690412759780884,6026072.0,-0.008000028323697395,0.006619218988161535,-0.01461924731185893,2
2019-03-07,ALGT,Allegiant Travel,Treatment Small,129.11000061035156,129.6699981689453,126.05000305175781,127.01000213623047,120.44981384277344,248400.0,-0.020135766911001718,-0.008365272652910094,-0.011770494258091624,-2
2019-03-08,ALGT,Allegiant Travel,Treatment Small,126.30999755859375,127.8499984741211,125.80000305175781,126.81999969482422,120.26962280273438,169300.0,-0.001495984379637716,-0.002000234957856395,0.000504250578218679,-1
2019-03-11,ALGT,Allegiant Travel,Treatment Small,126.52999877929688,128.72999572753906,126.12000274658203,128.22999572753906,121.60680389404297,236800.0,0.011118194770610046,0.014501494768125678,-0.003383299997515632,0
2019-03-12,ALGT,Allegiant Travel,Treatment Small,128.52000427246094,128.80999755859375,125.5,126.72000122070312,120.17479705810547,230400.0,-0.011775713118693742,0.003770573639223729,-0.015546286757917471,1
2019-03-13,ALGT,Allegiant Travel,Treatment Small,127.0199966430664,128.22000122070312,124.88999938964844,127.69000244140625,121.09469604492188,308500.0,0.007654674768218017,0.006619218988161535,0.0010354557800564823,2
2019-03-07,ALK,Alaska Air Group,Treatment Small,55.720001220703125,56.25,55.20000076293945,55.95000076293945,54.72808074951172,4077000.0,0.002149363210110611,-0.008365272652910094,0.010514635863020705,-2
2019-03-08,ALK,Alaska Air Group,Treatment Small,55.380001068115234,55.91999816894531,54.95000076293945,55.619998931884766,54.40528869628906,2833800.0,-0.005898106580789153,-0.002000234957856395,-0.003897871622932758,-1
2019-03-11,ALK,Alaska Air Group,Treatment Small,55.349998474121094,55.97999954223633,54.599998474121094,55.41999816894531,54.209651947021484,2414300.0,-0.003595914183264326,0.014501494768125678,-0.018097408951390004,0
2019-03-12,ALK,Alaska Air Group,Treatment Small,55.439998626708984,55.439998626708984,53.70000076293945,54.09000015258789,52.90869903564453,4293900.0,-0.023998547576884688,0.003770573639223729,-0.027769121216108417,1
2019-03-13,ALK,Alaska Air Group,Treatment Small,54.58000183105469,56.18000030517578,54.43000030517578,56.029998779296875,54.806331634521484,3544400.0,0.03586617387054858,0.006619218988161535,0.029246954882387044,2
2019-03-07,C6L.SI,Singapore Airlines,Control Big,6.925909996032715,7.0245490074157715,6.918863773345947,7.0245490074157715,5.565612316131592,1443720.0,0.0142420466670381,-0.008365272652910094,0.022607319319948194,-2
2019-03-08,C6L.SI,Singapore Airlines,Control Big,6.947047233581543,6.968183994293213,6.848406791687012,6.862499237060547,5.437219142913818,2841454.0,-0.023069011265055894,-0.002000234957856395,-0.0210687763071995,-1
2019-03-11,C6L.SI,Singapore Airlines,Control Big,6.827270030975342,6.86954402923584,6.827270030975342,6.841361999511719,5.42047119140625,835120.0,-0.003080242136165423,0.014501494768125678,-0.0175817369042911,0
2019-03-12,C6L.SI,Singapore Airlines,Control Big,6.932956218719482,6.947047233581543,6.799088001251221,6.820224761962891,5.403724670410156,1765193.0,-0.003089495434021372,0.003770573639223729,-0.006860069073245101,1
2019-03-13,C6L.SI,Singapore Airlines,Control Big,6.855453014373779,6.862499237060547,6.799088001251221,6.848406791687012,5.426053047180176,1281493.0,0.004132034500626158,0.006619218988161535,-0.0024871844875353766,2
2019-03-07,CHR.TO,Chorus Aviation,Treatment Small,51.79999923706055,52.290000915527344,51.310001373291016,51.939998626708984,47.59077453613281,68429.0,0.002702617985357758,-0.008365272652910094,0.011067890638267852,-2
2019-03-08,CHR.TO,Chorus Aviation,Treatment Small,51.380001068115234,52.220001220703125,50.68000030517578,51.72999954223633,47.398353576660156,55186.0,-0.00404324076143292,-0.002000234957856395,-0.0020430058035765253,-1
2019-03-11,CHR.TO,Chorus Aviation,Treatment Small,51.79999923706055,52.185001373291016,51.380001068115234,51.59000015258789,47.27008056640625,35171.0,-0.0027062756525170206,0.014501494768125678,-0.0172077704206427,0
2019-03-12,CHR.TO,Chorus Aviation,Treatment Small,51.59000015258789,51.79999923706055,50.540000915527344,50.88999938964844,46.628700256347656,52843.0,-0.013568420074037468,0.003770573639223729,-0.017338993713261197,1
2019-03-13,CHR.TO,Chorus Aviation,Treatment Small,50.400001525878906,50.959999084472656,49.84000015258789,50.470001220703125,46.24386978149414,82986.0,-0.008253081744459045,0.006619218988161535,-0.01487230073262058,2
2019-03-07,CPA,Copa Holdings,Treatment Small,84.16000366210938,85.0999984741211,82.4800033569336,82.8499984741211,67.67147827148438,343000.0,-0.0224191968237184,-0.008365272652910094,-0.014053924170808307,-2
2019-03-08,CPA,Copa Holdings,Treatment Small,82.0199966430664,83.19999694824219,81.68000030517578,82.80000305175781,67.63066101074219,179900.0,-0.0006031678601498003,-0.002000234957856395,0.0013970670977065947,-1
2019-03-11,CPA,Copa Holdings,Treatment Small,82.4800033569336,84.19000244140625,81.05000305175781,83.94000244140625,68.56180572509766,328100.0,0.013768085368965455,0.014501494768125678,-0.0007334093991602231,0
2019-03-12,CPA,Copa Holdings,Treatment Small,84.20999908447266,84.30000305175781,82.88999938964844,83.18000030517578,67.9410400390625,242100.0,-0.009054103512444622,0.003770573639223729,-0.012824677151668351,1
2019-03-13,CPA,Copa Holdings,Treatment Small,83.51000213623047,84.62999725341797,82.68000030517578,84.20999908447266,68.78233337402344,224700.0,0.012382697328113368,0.006619218988161535,0.005763478339951833,2
2019-03-07,DAL,Delta Air Lines,Control Big,49.5099983215332,49.79999923706055,48.7599983215332,49.59000015258789,46.84388732910156,8183600.0,-0.0024139776250310385,-0.008365272652910094,0.0059512950278790555,-2
2019-03-08,DAL,Delta Air Lines,Control Big,49.25,49.599998474121094,48.91999816894531,49.59000015258789,46.84388732910156,8570100.0,0.0,-0.002000234957856395,0.002000234957856395,-1
2019-03-11,DAL,Delta Air Lines,Control Big,49.79999923706055,51.290000915527344,49.77000045776367,51.119998931884766,48.28916549682617,8868100.0,0.030853079241071724,0.014501494768125678,0.016351584472946046,0
2019-03-12,DAL,Delta Air Lines,Control Big,51.189998626708984,51.31999969482422,50.02000045776367,50.66999816894531,47.86407470703125,8073900.0,-0.00880302621553608,0.003770573639223729,-0.01257359985475981,1
2019-03-13,DAL,Delta Air Lines,Control Big,50.97999954223633,51.09000015258789,50.08000183105469,51.02000045776367,48.194705963134766,10536300.0,0.006907712269113242,0.006619218988161535,0.0002884932809517071,2
2019-03-07,EZJ.L,easyJet,Control Small,1240.0,1248.0,1180.0,1196.0,1194.8553466796875,2955674.0,-0.038585240585614855,-0.008365272652910094,-0.03021996793270476,-2
2019-03-08,EZJ.L,easyJet,Control Small,1186.5,1192.0,1168.0,1168.0,1166.88232421875,1465576.0,-0.02341122089688097,-0.002000234957856395,-0.021410985939024574,-1
2019-03-11,EZJ.L,easyJet,Control Small,1176.5,1184.5,1155.5,1161.5,1160.388427734375,1716904.0,-0.005565168268979348,0.014501494768125678,-0.020066663037105026,0
2019-03-12,EZJ.L,easyJet,Control Small,1170.5,1209.5,1166.0,1184.0,1182.866943359375,1854215.0,0.01937154412069475,0.003770573639223729,0.015600970481471022,1
2019-03-13,EZJ.L,easyJet,Control Small,1178.0,1182.5,1174.0,1176.0,1174.87451171875,2744933.0,-0.006756830669328084,0.006619218988161535,-0.01337604965748962,2
2019-03-07,IAG.L,International Airlines Group,Control Small,570.0,573.0,551.2000122070312,554.2000122070312,553.2175903320312,8607553.0,-0.032134000694298614,-0.008365272652910094,-0.02376872804138852,-2
2019-03-08,IAG.L,International Airlines Group,Control Small,548.0,553.0,535.7999877929688,539.0,538.0444946289062,17039889.0,-0.027426994311620434,-0.002000234957856395,-0.02542675935376404,-1
2019-03-11,IAG.L,International Airlines Group,Control Small,544.5999755859375,550.4000244140625,531.5999755859375,537.7999877929688,536.8465576171875,10137675.0,-0.002226464583649279,0.014501494768125678,-0.016727959351774957,0
2019-03-12,IAG.L,International Airlines Group,Control Small,542.2000122070312,544.4000244140625,528.4000244140625,533.0,532.05517578125,10299949.0,-0.008925049006934582,0.003770573639223729,-0.012695622646158311,1
2019-03-13,IAG.L,International Airlines Group,Control Small,537.0,541.2000122070312,529.5999755859375,539.0,538.0444946289062,11574984.0,0.011256950632726692,0.006619218988161535,0.004637731644565157,2
2019-03-07,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,14.520000457763672,14.680000305175781,14.350000381469727,14.40999984741211,10.259026527404785,1082100.0,-0.03612036747490477,-0.008365272652910094,-0.027755094821994675,-2
2019-03-08,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,14.020000457763672,14.199999809265137,13.800000190734863,13.970000267028809,9.94577407836914,1311500.0,-0.030534324889292197,-0.002000234957856395,-0.028534089931435802,-1
2019-03-11,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,14.069999694824219,14.180000305175781,13.890000343322754,14.180000305175781,10.095281600952148,57000.0,0.0150322661066844,0.014501494768125678,0.000530771338558722,0
2019-03-12,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,13.949999809265137,14.020000457763672,13.90999984741211,13.949999809265137,9.931534767150879,123600.0,-0.016220135333899544,0.003770573639223729,-0.019990708973123272,1
2019-03-13,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,14.149999618530273,14.260000228881836,14.140000343322754,14.210000038146973,10.116639137268066,98900.0,0.018638042805773747,0.006619218988161535,0.012018823817612212,2
2019-03-07,JET2.L,Jet2 plc,Treatment Small,842.5,842.5,823.5,829.0,828.6143188476562,205612.0,-0.01893483743865998,-0.008365272652910094,-0.010569564785749885,-2
2019-03-08,JET2.L,Jet2 plc,Treatment Small,820.0,834.5,809.5,827.5,827.1150512695312,218246.0,-0.001809367209837709,-0.002000234957856395,0.000190867748018686,-1
2019-03-11,JET2.L,Jet2 plc,Treatment Small,837.5,837.5,821.5,828.0,827.61474609375,92317.0,0.000604141858441265,0.014501494768125678,-0.013897352909684413,0
2019-03-12,JET2.L,Jet2 plc,Treatment Small,821.0,842.0,818.5,824.0,823.6166381835938,153929.0,-0.004830880465853116,0.003770573639223729,-0.008601454105076844,1
2019-03-13,JET2.L,Jet2 plc,Treatment Small,820.0,828.0,815.5,821.0,820.6179809570312,78130.0,-0.0036408410024059146,0.006619218988161535,-0.01026005999056745,2
2019-03-07,LHA.DE,Lufthansa Group,Control Small,16.157716751098633,16.357547760009766,15.80087661743164,15.957886695861816,13.97693920135498,6700415.0,0.004041408543778324,-0.008365272652910094,0.012406681196688418,-2
2019-03-08,LHA.DE,Lufthansa Group,Control Small,15.843697547912598,15.986433982849121,15.679551124572754,15.793740272521973,13.833168983459473,4406992.0,-0.010286244779656006,-0.002000234957856395,-0.008286009821799611,-1
2019-03-11,LHA.DE,Lufthansa Group,Control Small,16.079212188720703,16.164854049682617,15.965023040771484,16.03639030456543,14.045697212219238,4103524.0,0.015363668947721898,0.014501494768125678,0.0008621741795962201,0
2019-03-12,LHA.DE,Lufthansa Group,Control Small,16.193401336669922,16.28618049621582,16.029254913330078,16.193401336669922,14.183218955993652,5775171.0,0.009791022951482597,0.003770573639223729,0.006020449312258869,1
2019-03-13,LHA.DE,Lufthansa Group,Control Small,16.214811325073242,16.336137771606445,16.01498031616211,16.293315887451172,14.270729064941406,4561484.0,0.006169975181182119,0.006619218988161535,-0.0004492438069794158,2
2019-03-07,LTM.SN,LATAM Airlines Group,Control Big,412.3171691894531,413.0981750488281,404.507080078125,412.3171691894531,412.28619384765625,1546058.0,0.0029854677736449453,-0.008365272652910094,0.01135074042655504,-2
2019-03-08,LTM.SN,LATAM Airlines Group,Control Big,417.828857421875,418.39788818359375,401.7177429199219,417.828857421875,417.7974853515625,316098.0,0.013367635361427377,-0.002000234957856395,0.015367870319283772,-1
2019-03-11,LTM.SN,LATAM Airlines Group,Control Big,427.8815612792969,432.23291015625,417.00323486328125,427.8815612792969,427.84942626953125,508708.0,0.024059361940655055,0.014501494768125678,0.009557867172529377,0
2019-03-12,LTM.SN,LATAM Airlines Group,Control Big,424.2554626464844,433.4044189453125,424.2554626464844,424.2554626464844,424.2236022949219,319468.0,-0.008474532749110697,0.003770573639223729,-0.012245106388334426,1
2019-03-13,LTM.SN,LATAM Airlines Group,Control Big,440.7124328613281,441.7165832519531,424.2554626464844,440.7124328613281,440.6793518066406,17925.0,0.03879027339049057,0.006619218988161535,0.032171054402329036,2
2019-03-07,LUV,Southwest Airlines,Treatment Big,52.83000183105469,53.18000030517578,51.959999084472656,52.43000030517578,47.8751106262207,5552200.0,-0.011873183899124617,-0.008365272652910094,-0.0035079112462145234,-2
2019-03-08,LUV,Southwest Airlines,Treatment Big,52.0099983215332,52.0099983215332,51.31999969482422,51.77000045776367,47.272438049316406,4648100.0,-0.012588432047908826,-0.002000234957856395,-0.010588197090052431,-1
2019-03-11,LUV,Southwest Airlines,Treatment Big,49.900001525878906,51.63999938964844,49.81999969482422,51.61000061035156,47.1263427734375,6185700.0,-0.003090495897979606,0.014501494768125678,-0.017591990666105284,0
2019-03-12,LUV,Southwest Airlines,Treatment Big,51.380001068115234,51.43000030517578,49.90999984741211,50.400001525878906,46.02145767211914,8767000.0,-0.0234451696502348,0.003770573639223729,-0.027215743289458527,1
2019-03-13,LUV,Southwest Airlines,Treatment Big,50.88999938964844,51.779998779296875,48.58000183105469,50.61000061035156,46.21321487426758,12543800.0,0.004166691188154381,0.006619218988161535,-0.0024525278000071538,2
2019-03-07,NAS.OL,Norwegian Air Shuttle,Treatment Big,3013.854736328125,3020.39453125,2827.007080078125,2835.4150390625,2682.6083984375,23346.0,-0.050078195038915974,-0.008365272652910094,-0.04171292238600588,-2
2019-03-08,NAS.OL,Norwegian Air Shuttle,Treatment Big,2844.757568359375,2852.2314453125,2781.229248046875,2826.07275390625,2673.76953125,13780.0,-0.00329487792278893,-0.002000234957856395,-0.0012946429649325353,-1
2019-03-11,NAS.OL,Norwegian Air Shuttle,Treatment Big,2752.267822265625,2752.267822265625,2592.512939453125,2645.7646484375,2503.178466796875,30798.0,-0.06380170858382583,0.014501494768125678,-0.07830320335195151,0
2019-03-12,NAS.OL,Norwegian Air Shuttle,Treatment Big,2663.51513671875,2692.4765625,2401.92822265625,2569.156982421875,2430.699462890625,58701.0,-0.02895478882853919,0.003770573639223729,-0.03272536246776292,1
2019-03-13,NAS.OL,Norwegian Air Shuttle,Treatment Big,2475.733154296875,2656.041259765625,2446.771728515625,2529.9189453125,2393.576171875,36852.0,-0.0152726783308198,0.006619218988161535,-0.021891897318981335,2
2019-03-07,QAN.AX,Qantas Airways,Control Small,5.71999979019165,5.730000019073486,5.659999847412109,5.690000057220459,5.168442726135254,5218819.0,0.003527387643505353,-0.008365272652910094,0.011892660296415447,-2
2019-03-08,QAN.AX,Qantas Airways,Control Small,5.630000114440918,5.679999828338623,5.565000057220459,5.659999847412109,5.14119291305542,5232475.0,-0.005272344983536348,-0.002000234957856395,-0.003272110025679953,-1
2019-03-11,QAN.AX,Qantas Airways,Control Small,5.590000152587891,5.715000152587891,5.570000171661377,5.679999828338623,5.159358978271484,3368145.0,0.003533433878727621,0.014501494768125678,-0.010968060889398057,0
2019-03-12,QAN.AX,Qantas Airways,Control Small,5.679999828338623,5.840000152587891,5.650000095367432,5.679999828338623,5.159358978271484,8357249.0,0.0,0.003770573639223729,-0.003770573639223729,1
2019-03-13,QAN.AX,Qantas Airways,Control Small,5.590000152587891,5.630000114440918,5.534999847412109,5.619999885559082,5.104858875274658,10981147.0,-0.010563347738808626,0.006619218988161535,-0.01718256672697016,2
