Period,Ticker,Name,Group,n_months,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
Before,0670.HK,China Eastern Airlines,Control Big,60,0.02135106110712772,0.1264171045863557,0.006796265382056007,1.5983543748957925,0.6625515699783382,0.0008237999120836974,0.17676930008306113
Before,1055.HK,China Southern Airlines,Control Big,60,0.02912246514256506,0.14814413863357467,0.015348615445573477,1.5125937414855137,0.4181623978080421,0.007954798153801134,0.11527842238164787
Before,9201.T,Japan Airlines,Control Big,60,0.01144271346662148,0.057628598270058395,0.00874200334295163,0.2965820972710214,0.2590503886735549,0.19107611346857295,0.029287757779322354
Before,9202.T,ANA Holdings,Control Big,60,0.012779295659758704,0.05619562233023897,0.008437107932395512,0.4768431575232967,0.25139018877358954,0.028940949152131745,0.07961932886249257
Before,C6L.SI,Singapore Airlines,Control Big,60,0.0022825718641795332,0.04210446149734206,0.0015054018050896841,0.0853459703212815,0.7917279073489276,0.60885047023403,0.004543412606815012
Before,DAL,Delta Air Lines,Control Big,60,0.010974072159693489,0.0760538317430734,0.0018847365550620828,0.9981575559685233,0.8391449517422982,0.0004902980571541873,0.1904707845887187
Before,LTM.SN,LATAM Airlines Group,Control Big,60,0.002942182208563084,0.1045718139601863,-0.007374931498419198,1.1329876517226907,0.5778523576098558,0.004688521214120746,0.12980560403066999
Before,AF.PA,Air France-KLM,Control Small,60,0.005681674269415776,0.12280991682471318,0.00019048547140960184,0.6030222480933299,0.990753876857989,0.2125624440709449,0.02666073811498315
Before,AIR.NZ,Air New Zealand,Control Small,60,0.015455866059826538,0.08698890877315309,0.009265060841375464,0.6798515617772589,0.41753532361527146,0.044926744748187114,0.06754182726909419
Before,EZJ.L,easyJet,Control Small,60,-0.003590982573587753,0.0829353813517174,-0.007257651321389186,0.4026601365656209,0.5141356488041302,0.217809395663146,0.026065733673870328
Before,IAG.L,International Airlines Group,Control Small,60,0.0066167471074535114,0.07755753949088946,0.0022556914400226782,0.4789151656175382,0.8266465834898599,0.11550810391915266,0.04216397109763814
Before,LHA.DE,Lufthansa Group,Control Small,60,0.007490852266782213,0.10112807851561655,-0.00039697918085312197,0.8662127686925281,0.9759190027387165,0.027398021617587674,0.08112935515730446
Before,QAN.AX,Qantas Airways,Control Small,60,0.03201703138733599,0.09249235379632924,0.0271383682216535,0.535756925882459,0.030805385443191342,0.14035301381886725,0.03710191251020334
Before,WIZZ.L,Wizz Air Holdings,Control Small,49,0.020427482839331573,0.08351270187970138,0.019402042275686347,0.12440596432612003,0.1236981663368732,0.722387007381354,0.002710502212868948
Before,AAL,American Airlines Group,Treatment Big,60,0.0031339743834798966,0.09851574923509342,-0.010116524485193883,1.4551212697416342,0.38640873943616283,6.755205509642222e-05,0.241245611097628
Before,AC.TO,Air Canada,Treatment Big,60,0.035948994289003965,0.11595601576651197,0.02679088504847045,1.0057100248521833,0.07927575434512141,0.025432565695765363,0.0831823837123512
Before,ICAGY,International Consolidated Airlines Group ADR,Treatment Big,60,0.0047483524144534845,0.08006378517194412,-0.0026126674786938068,0.8083602526719045,0.7985014628605328,0.008727771261624889,0.11272235089530547
