Ticker,Name,Group,mean_return_before,mean_return_after,delta_mean_return,beta_before,beta_after,delta_beta,alpha_before,alpha_after,delta_alpha
ALGN,Align Technology,Control Big,0.028656961193386135,-0.006529257228631392,-0.03518621842201752,1.650501826245742,2.0507518272730647,0.40025000102732267,0.009960036006484147,-0.04094566789841695,-0.050905703904901095
BSX,Boston Scientific,Control Big,0.012176634008462322,0.007302128353338591,-0.004874505655123731,0.7536326539862804,1.0389444517611233,0.28531179777484283,0.0036394648118437322,-0.010133788776845162,-0.013773253588688895
COO,Cooper Companies,Control Big,0.011286936506989129,-0.0005304620520931259,-0.011817398559082254,0.8982852126642743,0.9787281644075405,0.08044295174326621,0.0011111395762539193,-0.01695580908451595,-0.01806694866076987
DHR,Danaher,Control Big,0.016992232355294463,-0.0018228180525169462,-0.01881505040781141,0.7823997973319837,0.9772374811696571,0.19483768383767341,0.008129188252981943,-0.01822314793473599,-0.026352336187717932
IDXX,IDEXX Laboratories,Control Big,0.02231834470328028,0.014072889433613118,-0.008245455269667164,1.212044394871951,1.6365562227057855,0.42451182783383445,0.008588276057630262,-0.013392350531444625,-0.02198062658907489
JNJ,Johnson & Johnson,Control Big,0.007926231135650476,0.017828952105941116,0.00990272097029064,0.5208211174665552,0.26731233778649854,-0.2535087796800567,0.0020263567373406443,0.01334282605596755,0.011316469318626905
TMO,Thermo Fisher Scientific,Control Big,0.01866547270745879,0.003064279352522199,-0.01560119335493659,0.8059464761181778,1.1289929274465555,0.3230464513283777,0.009535691250079602,-0.01588286174838405,-0.025418552998463653
ZTS,Zoetis,Control Big,0.018281633277863703,-0.008543545236804407,-0.026825178514668112,0.7241657943392183,1.0601128985331139,0.3359471041938955,0.010078265390370133,-0.026334718399267338,-0.03641298378963747
CERT,Certara,Control Small,-0.008141428522412633,-0.019397514338751035,-0.011256085816338402,1.436259482964513,1.7245210791326067,0.28826159616809366,-0.02020779049618627,-0.048339010271513966,-0.028131219775327697
CSTL,Castle Biosciences,Control Small,0.019271883977540743,0.03009616307448662,0.010824279096945878,0.7835644322767853,1.2470977668410395,0.46353333456425416,0.010376650096394163,0.009166946619248186,-0.0012097034771459767
GH,Guardant Health,Control Small,0.017846070731017936,0.062107274132504026,0.04426120340148609,0.8564828733230713,2.0900193515553203,1.2335364782322489,0.007804194925460506,0.027031862591081562,0.019227667665621055
HAE,Haemonetics,Control Small,0.016411196055922894,-0.0035504984587098627,-0.019961694514632755,0.42273412909962976,0.44176453498845014,0.01903040588882038,0.011622453468643176,-0.010964340276774422,-0.022586793745417597
NEO,NeoGenomics,Control Small,0.020418425053766315,0.008772750190775317,-0.011645674862990998,0.9710815250062164,2.4133842887846764,1.44230276377846,0.009417989710582005,-0.03172948107982594,-0.041147470790407946
STAA,STAAR Surgical,Control Small,0.03558808660198606,-0.001322341252559829,-0.036910427854545895,1.1630609174382383,0.2117277934030707,-0.9513331240351676,0.022412903990637268,-0.0048756286816180675,-0.027288532672255335
XRAY,Dentsply Sirona,Control Small,-0.0009375640205998964,-0.026411284743090787,-0.025473720722490892,0.9559895585722094,1.0504708612003284,0.09448130262811905,-0.011767037197700638,-0.04404064197437895,-0.032273604776678316
DXCM,DexCom,Treatment Big,0.031680376825637284,-0.0020322566658068177,-0.0337126334914441,1.0240746862136596,1.8300659785483713,0.8059912923347117,0.0200796336519753,-0.03274504279277349,-0.05282467644474879
INSP,Inspire Medical Systems,Treatment Big,0.04294895769790749,-0.01944153808823086,-0.06239049578613835,1.426929942009221,0.39569061025468993,-1.031239331754531,0.027288430785174532,-0.026082151720555145,-0.05337058250572968
ISRG,Intuitive Surgical,Treatment Big,0.022022082941546412,0.01779004405071047,-0.004232038890835944,1.2863980399142527,1.479438755087888,0.1930407151736353,0.007449734380404563,-0.007038397440236116,-0.014488131820640678
MASI,Masimo,Treatment Big,0.010883450918699288,0.02841475603253034,0.017531305113831053,0.846609992588189,1.0368889895958517,0.1902789970076627,0.0012930321489667321,0.011013334363501565,0.009720302214534833
MDT,Medtronic,Treatment Big,0.0045899356161442665,0.00892850785292323,0.004338572236778964,0.7572327988187689,0.9625219407306679,0.20528914191189895,-0.00398801610947531,-0.007224860853281881,-0.003236844743806571
PEN,Penumbra,Treatment Big,0.024510445405519443,0.015787009078711292,-0.008723436326808151,0.5446196316989768,0.5562035346219768,0.011583902923000045,0.01834098085402868,0.006452613268863082,-0.011888367585165599
PODD,Insulet,Treatment Big,0.025358739228222377,0.014966509278259061,-0.010392229949963316,0.7884038025310944,2.1247628405310226,1.3363590379999282,0.016427681607691043,-0.020691979244388828,-0.03711966085207987
RMD,ResMed,Treatment Big,0.01531733494537189,0.017341690402577364,0.0020243554572054734,0.5500327388033244,0.7317427281800438,0.18170998937671945,0.009086550583778956,0.005061336484199342,-0.004025214099579615
ANGO,AngioDynamics,Treatment Small,-0.0024536385061774838,0.019452873182172918,0.0219065116883504,0.5257392019917805,0.32332494956088625,-0.20241425243089423,-0.008409225086666576,0.014026724539569031,0.02243594962623561
CNMD,CONMED,Treatment Small,0.01759957956193308,-0.025697946258004836,-0.04329752581993791,1.3118021911670155,1.3168903255615718,0.005088134394556354,0.002739452152045542,-0.04779844503550015,-0.05053789718754569
EW,Edwards Lifesciences,Treatment Small,0.014765618618446667,0.00815642348354387,-0.006609195134902797,0.94663450332004,0.7860288583170988,-0.16060564500294117,0.004042119736792175,-0.00503497862878099,-0.009077098365573164
LMAT,LeMaitre Vascular,Treatment Small,0.017816917297670834,0.029183682124341966,0.011366764826671132,0.9077622636044232,1.1627813239187086,0.25501906031428534,0.007533764101342475,0.009669492727589279,0.0021357286262468035
MMSI,Merit Medical Systems,Treatment Small,0.018382364073549658,0.0017829647376739414,-0.016599399335875717,0.9678033636545825,0.7150494863845049,-0.2527538772700776,0.007419063822594543,-0.010217237551723572,-0.017636301374318115
OM,Outset Medical,Treatment Small,-0.019694920647044898,-0.025207117925923613,-0.005512197278878715,1.4777484657999405,3.555525053329946,2.0777765875300056,-0.03612886848322347,-0.084877141745837,-0.04874827326261354
TNDM,Tandem Diabetes Care,Treatment Small,0.03358990376985342,0.021653202803065017,-0.011936700966788404,0.764990792229995,2.220630950243764,1.455640158013769,0.024924069304509706,-0.01561417675658228,-0.040538246061091986
