Period,n_stocks,intercept,beta_coef,intercept_p_value,beta_p_value,r_squared
Before,30,0.006902487402605871,0.004640239061931007,0.1279467510938039,0.3398248560995736,0.03258090902367616
After,30,0.006872399721789702,-0.0026859184372402885,0.3390910422537732,0.6019449962773233,0.009842995623573714
