Period,TwoGroup,n_obs,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,Control,465,0.005009114352001575,0.14380471336834633,-0.015485054092761607,1.221174799132589,0.030729751967031812,3.094356249866731e-10,0.08208590514645553
After,Treatment,465,0.007405253605902887,0.1508020091756958,-0.014073394025729139,1.2798364216577995,0.060991736409484174,3.172964322114173e-10,0.08198866992746334
Before,Control,1087,0.016682475879814834,0.11719386631584823,0.006409205568857666,0.9120353577649878,0.05683502388901625,3.091286198843543e-40,0.1500483531696234
Before,Treatment,1125,0.018228842539856495,0.12753511411785273,0.00782008743207343,0.9209811447227484,0.03210872324959097,3.241134638643389e-35,0.12767919920984083
