Period,Group,n_obs,mean_monthly_return,std_monthly_return,alpha,beta,alpha_p_value,beta_p_value,reg_r2
After,Control Big,248,0.0028370894949290063,0.08559750694610276,-0.016163853322179084,1.1492453663049216,0.0031604330640000663,8.316262732745878e-14,0.20307499475069912
After,Control Small,217,0.007395172059841663,0.19015085081058086,-0.014483264046597864,1.3232865105348888,0.30305888387054647,0.0005202814621667575,0.05459031994832875
After,Treatment Big,248,0.011656674473936902,0.1288933957896093,-0.008273034086350542,1.2054204591413975,0.3416748815268005,4.502760563801938e-07,0.09853010487846459
After,Treatment Small,217,0.009990121822201357,0.18031697576534725,-0.015067619999945412,1.5155823559049135,0.2522850448497391,2.4538060355558385e-05,0.07963248462840533
Before,Control Big,632,0.01703805582496477,0.0804992969227202,0.006633570316568006,0.9184729870362908,0.015111589695486146,1.189795726371539e-53,0.3145932730916996
Before,Control Small,455,0.016188571822210507,0.1544237855004192,0.00609069275441762,0.9035856188517499,0.39064983436748235,1.0976118708316015e-10,0.08791295233414631
Before,Treatment Big,616,0.022314653104846077,0.11490764759782754,0.011896469309209193,0.9226230017003415,0.006520657980398948,6.747453021165553e-25,0.15891592264801546
Before,Treatment Small,509,0.015957159324550475,0.1552319847375405,0.005299498964449783,0.9420065520082247,0.4322443325300157,5.373778329756681e-12,0.089599087261382
